player,age,team,position,games_played,fg_made,fg_attempt,fg_percent,three_made,three_attempt,three_percent,ft_made,ft_attempt,ft_percent,rebound,assist,steal,block,turnover,point
Jae'Sean Tate,29,HOU,SF,52,70,148,0.473,16,46,0.348,32,47,0.681,117,47,26,7,22,188
Zeke Nnaji,24,DEN,PF,57,70,141,0.496,17,52,0.327,27,44,0.614,90,23,25,38,14,184
Paul Reed,25,DET,C,45,72,142,0.507,8,28,0.286,32,42,0.762,123,44,39,25,26,184
Tre Mann,23,CHO,PG,13,70,161,0.435,24,60,0.4,19,21,0.905,38,39,7,4,25,183
Vince Williams Jr.,24,MEM,SG,27,67,167,0.401,26,95,0.274,19,24,0.792,98,55,12,7,33,179
Cory Joseph,33,ORL,PG,50,62,154,0.403,39,107,0.364,14,18,0.778,74,72,26,4,18,177
Dante Exum,29,DAL,PG,20,64,134,0.478,23,53,0.434,23,31,0.742,33,56,12,3,22,174
Jeff Green,38,HOU,PF,32,61,121,0.504,29,79,0.367,21,26,0.808,58,20,6,4,9,172
Kessler Edwards,24,DAL,SF,40,67,135,0.496,22,54,0.407,12,13,0.923,115,42,19,20,16,168
Keaton Wallace,25,ATL,PG,31,65,162,0.401,27,82,0.329,11,11,1,50,81,28,9,33,168
Jaylon Tyson,22,CLE,SG,47,64,149,0.43,20,58,0.345,19,24,0.792,96,44,13,3,26,167
Grant Williams,26,CHO,PF,16,54,123,0.439,27,74,0.365,31,37,0.838,82,37,18,13,28,166
Jaylen Clark,23,MIN,SG,40,56,120,0.467,22,51,0.431,29,37,0.784,53,26,36,2,8,163
Quenton Jackson,26,IND,PG,28,58,122,0.475,15,40,0.375,31,40,0.775,44,53,21,5,16,162
Micah Potter,26,UTA,C,38,57,135,0.422,31,98,0.316,17,20,0.85,164,31,14,14,31,162
Daniel Theis,32,NOP,C,38,61,129,0.473,9,37,0.243,31,37,0.838,164,60,18,20,25,162
Jordan Goodwin,26,LAL,PG,29,63,144,0.438,26,68,0.382,9,11,0.818,112,42,30,11,26,161
Charles Bassey,24,SAS,C,36,68,117,0.581,0,0,,21,33,0.636,152,17,14,30,23,157
Colby Jones,22,2TM,SG,39,59,129,0.457,16,49,0.327,23,35,0.657,87,44,26,13,23,157
Colby Jones,22,SAC,SG,24,11,26,0.423,4,10,0.4,0,0,,23,7,6,7,7,26
Colby Jones,22,WAS,SG,15,48,103,0.466,12,39,0.308,23,35,0.657,64,37,20,6,16,131
Rayan Rupert,20,POR,SG,52,58,142,0.408,16,59,0.271,23,30,0.767,70,25,16,4,30,155
Jevon Carter,29,CHI,PG,36,55,146,0.377,35,105,0.333,8,10,0.8,39,40,13,3,11,153
David Roddy,23,3TM,PF,33,57,125,0.456,19,61,0.311,20,26,0.769,84,35,14,9,22,153
